omega,cooperativity,kon,v_s,D
0.0,1,0.001,0.3,0.09
0.05,1,0.001,0.3,0.09
0.1,1,0.001,0.3,0.09
0.15,1,0.001,0.3,0.09
0.2,1,0.001,0.3,0.09
0.25,1,0.001,0.3,0.09
0.3,1,0.001,0.3,0.09
0.35,1,0.001,0.3,0.09
0.4,1,0.001,0.3,0.09
0.45,1,0.001,0.3,0.09
0.5,1,0.001,0.3,0.09
0.55,1,0.001,0.3,0.09
0.6,1,0.001,0.3,0.09
0.65,1,0.001,0.3,0.09
0.7,1,0.001,0.3,0.09
0.75,1,0.001,0.3,0.09
0.8,1,0.001,0.3,0.09
0.85,1,0.001,0.3,0.09
0.9,1,0.001,0.3,0.09
0.95,1,0.001,0.3,0.09
1.0,1,0.001,0.3,0.09
0.0,2,0.001,0.3,0.09
0.05,2,0.001,0.3,0.09
0.1,2,0.001,0.3,0.09
0.15,2,0.001,0.3,0.09
0.2,2,0.001,0.3,0.09
0.25,2,0.001,0.3,0.09
0.3,2,0.001,0.3,0.09
0.35,2,0.001,0.3,0.09
0.4,2,0.001,0.3,0.09
0.45,2,0.001,0.3,0.09
0.5,2,0.001,0.3,0.09
0.55,2,0.001,0.3,0.09
0.6,2,0.001,0.3,0.09
0.65,2,0.001,0.3,0.09
0.7,2,0.001,0.3,0.09
0.75,2,0.001,0.3,0.09
0.8,2,0.001,0.3,0.09
0.85,2,0.001,0.3,0.09
0.9,2,0.001,0.3,0.09
0.95,2,0.001,0.3,0.09
1.0,2,0.001,0.3,0.09
0.0,3,0.001,0.3,0.09
0.05,3,0.001,0.3,0.09
0.1,3,0.001,0.3,0.09
0.15,3,0.001,0.3,0.09
0.2,3,0.001,0.3,0.09
0.25,3,0.001,0.3,0.09
0.3,3,0.001,0.3,0.09
0.35,3,0.001,0.3,0.09
0.4,3,0.001,0.3,0.09
0.45,3,0.001,0.3,0.09
0.5,3,0.001,0.3,0.09
0.55,3,0.001,0.3,0.09
0.6,3,0.001,0.3,0.09
0.65,3,0.001,0.3,0.09
0.7,3,0.001,0.3,0.09
0.75,3,0.001,0.3,0.09
0.8,3,0.001,0.3,0.09
0.85,3,0.001,0.3,0.09
0.9,3,0.001,0.3,0.09
0.95,3,0.001,0.3,0.09
1.0,3,0.001,0.3,0.09
0.0,4,0.001,0.3,0.09
0.05,4,0.001,0.3,0.09
0.1,4,0.001,0.3,0.09
0.15,4,0.001,0.3,0.09
0.2,4,0.001,0.3,0.09
0.25,4,0.001,0.3,0.09
0.3,4,0.001,0.3,0.09
0.35,4,0.001,0.3,0.09
0.4,4,0.001,0.3,0.09
0.45,4,0.001,0.3,0.09
0.5,4,0.001,0.3,0.09
0.55,4,0.001,0.3,0.09
0.6,4,0.001,0.3,0.09
0.65,4,0.001,0.3,0.09
0.7,4,0.001,0.3,0.09
0.75,4,0.001,0.3,0.09
0.8,4,0.001,0.3,0.09
0.85,4,0.001,0.3,0.09
0.9,4,0.001,0.3,0.09
0.95,4,0.001,0.3,0.09
1.0,4,0.001,0.3,0.09
